Label.Number,Label.Name,JLF.Column.Names,Volume,GMD,CT,PCASL,rest,idemo,nback,MD,RD,AD,FA
115,Left Cun,%MODALITY%_jlf_%MEASURE%_L_Cun,0,0,0,0,0,0,0,0,0,0,1
116,Right Ent,%MODALITY%_jlf_%MEASURE%_R_Ent,0,0,0,0,0,0,0,0,0,0,1
117,Left Ent,%MODALITY%_jlf_%MEASURE%_L_Ent,0,0,0,0,0,0,0,0,0,0,1
118,Right FO,%MODALITY%_jlf_%MEASURE%_R_FO,0,0,0,0,0,0,0,0,0,0,1
119,Left FO,%MODALITY%_jlf_%MEASURE%_L_FO,0,0,0,0,0,0,0,0,0,0,1
120,Right FRP,%MODALITY%_jlf_%MEASURE%_R_FRP,0,0,0,0,0,0,0,0,0,0,1
121,Left FRP,%MODALITY%_jlf_%MEASURE%_L_FRP,0,0,0,0,0,0,0,0,0,0,1
122,Right FuG,%MODALITY%_jlf_%MEASURE%_R_FuG,0,0,0,0,0,0,0,0,0,0,1
123,Left FuG,%MODALITY%_jlf_%MEASURE%_L_FuG,0,0,0,0,0,0,0,0,0,0,1
124,Right GRe,%MODALITY%_jlf_%MEASURE%_R_GRe,0,0,0,0,0,0,0,0,0,0,1
125,Left GRe,%MODALITY%_jlf_%MEASURE%_L_GRe,0,0,0,0,0,0,0,0,0,0,1
128,Right IOG,%MODALITY%_jlf_%MEASURE%_R_IOG,0,0,0,0,0,0,0,0,0,0,1
129,Left IOG,%MODALITY%_jlf_%MEASURE%_L_IOG,0,0,0,0,0,0,0,0,0,0,1
132,Right ITG,%MODALITY%_jlf_%MEASURE%_R_ITG,0,0,0,0,0,0,0,0,0,0,1
133,Left ITG,%MODALITY%_jlf_%MEASURE%_L_ITG,0,0,0,0,0,0,0,0,0,0,1
134,Right LiG,%MODALITY%_jlf_%MEASURE%_R_LiG,0,0,0,0,0,0,0,0,0,0,1
135,Left LiG,%MODALITY%_jlf_%MEASURE%_L_LiG,0,0,0,0,0,0,0,0,0,0,1
136,Right LOrG,%MODALITY%_jlf_%MEASURE%_R_LOrG,0,0,0,0,0,0,0,0,0,0,1
137,Left LOrG,%MODALITY%_jlf_%MEASURE%_L_LOrG,0,0,0,0,0,0,0,0,0,0,1
138,Right MCgG,%MODALITY%_jlf_%MEASURE%_R_MCgG,0,0,0,0,0,0,0,0,0,0,1
139,Left MCgG,%MODALITY%_jlf_%MEASURE%_L_MCgG,0,0,0,0,0,0,0,0,0,0,1
140,Right MFC,%MODALITY%_jlf_%MEASURE%_R_MFC,0,0,0,0,0,0,0,0,0,0,1
141,Left MFC,%MODALITY%_jlf_%MEASURE%_L_MFC,0,0,0,0,0,0,0,0,0,0,1
142,Right MFG,%MODALITY%_jlf_%MEASURE%_R_MFG,0,0,0,0,0,0,0,0,0,0,1
143,Left MFG,%MODALITY%_jlf_%MEASURE%_L_MFG,0,0,0,0,0,0,0,0,0,0,1
144,Right MOG,%MODALITY%_jlf_%MEASURE%_R_MOG,0,0,0,0,0,0,0,0,0,0,1
145,Left MOG,%MODALITY%_jlf_%MEASURE%_L_MOG,0,0,0,0,0,0,0,0,0,0,1
146,Right MOrG,%MODALITY%_jlf_%MEASURE%_R_MOrG,0,0,0,0,0,0,0,0,0,0,1
147,Left MOrG,%MODALITY%_jlf_%MEASURE%_L_MOrG,0,0,0,0,0,0,0,0,0,0,1
