bblid,scanid
87646,10295
96832,8248
116531,7794
108211,10032
135484,8361
80010,2894
80010,7211
80179,2643
80199,2637
80208,3016
80249,2648
80263,6635
80263,8454
80263,9127
80265,3145
80289,2794
80373,7390
80396,2798
80425,2726
80498,3013
80537,2823
80537,9456
80557,3476
80557,7141
80557,9213
80575,2725
80603,2821
80607,2647
80680,2739
80688,3844
80688,9718
80690,9652
80765,3369
80812,2646
80812,7332
80854,2675
80854,7177
80889,3437
80895,2753
80961,2632
81005,2644
81043,2750
81043,7244
81047,3724
81098,2653
81162,3427
81222,3184
81222,6991
81222,9329
81231,5901
81287,2738
81323,3742
81323,7470
81323,10308
81353,3141
81353,7053
81364,9665
81456,6851
81462,6563
81462,8111
81462,9563
81521,6491
81528,3179
81533,6869
81533,9799
81544,2793
81595,2752
81604,2720
81644,2855
81659,2818
81659,9787
81662,2995
81705,6312
81725,6726
81725,10237
81754,2740
81760,3085
81760,9805
81826,2682
81855,3076
81865,6728
81865,8189
81876,6666
81876,7897
81903,2749
81903,7482
81906,6584
81939,2751
81939,8206
81939,9587
81982,2723
81982,9165
81989,2727
81992,6184
81992,8153
82003,4763
82021,2825
82039,3112
82039,9108
82039,10283
82051,2856
82051,7190
82051,9530
82063,3118
82063,8330
82063,9199
82066,6629
82066,8117
82096,4411
82096,7057
82124,5712
82124,7186
82155,3043
82202,3370
82208,6552
82229,6619
82232,2706
82232,7116
82281,3325
82293,3297
82293,7214
82311,4481
82311,7282
82359,6815
82359,9262
82373,2952
82383,2906
82423,6565
82453,6675
82458,2728
82458,6990
82467,4335
82489,3677
82492,3036
82492,9835
82511,3404
82587,3033
82674,3020
82709,8220
82746,3433
82754,4654
82784,3488
82790,3211
82790,9885
82825,3038
82877,2971
82877,7138
82907,2905
82907,9106
82914,3125
82932,9934
82935,3201
82940,4887
82962,3340
82962,6720
82982,2902
82985,6532
82989,2967
83010,4498
83010,7151
83010,9128
83013,5797
83035,2911
83044,6603
83080,2792
83103,2795
83113,2899
83127,6764
83207,3138
83253,6582
83253,8202
83260,7288
83322,2854
83328,3045
83328,7080
83339,6806
83339,9862
83358,2963
83358,6678
83372,2796
83372,7235
83423,6723
83423,8245
83429,3075
83454,5853
83454,6837
83454,9546
83525,2822
83531,4931
83580,3610
83612,3015
83616,3040
83632,6818
83648,3116
83708,3564
83832,6747
83835,6671
83835,8151
83835,9192
83937,2811
83972,3081
83987,3113
83987,7043
83987,9610
83990,2831
83999,2954
83999,9824
84002,8415
84050,5674
84053,3495
84059,4463
84069,3524
84096,6573
84103,5842
84103,9251
84107,2859
84136,6733
84136,8448
84171,8315
84203,8270
84203,9526
84233,2865
84258,6282
84258,7578
84288,3039
84332,2951
84332,9451
84354,6631
84354,9105
84354,10184
84365,2922
84371,6604
84385,4623
84385,8097
84394,2896
84394,10009
84412,4942
84446,3526
84476,8350
84508,5809
84511,3044
84525,2964
84535,3124
84659,6441
84685,6795
84688,8398
84688,9628
84688,10246
84732,5837
84735,3083
84758,3178
84761,8209
84761,10217
84803,3513
84816,2832
84891,6616
84970,3728
84970,7558
84973,2993
84973,9825
85005,8223
85054,6867
85057,3146
85063,3316
85063,7522
85063,9363
85083,3224
85083,7607
85139,3088
85159,3281
85165,3034
85173,3226
85173,9872
85230,3667
85258,6816
85286,3594
85369,6672
85369,8137
85369,9152
85392,3048
85392,9190
85394,2909
85397,6643
85397,7880
85400,6673
85400,7724
85400,9148
85412,7147
85412,9321
85433,6528
85464,3189
85483,3018
85579,10039
85603,2968
85632,3214
85632,9912
85679,3407
85679,6791
85715,5624
85715,7755
85743,6467
85751,6291
85765,3290
85812,3183
85822,3534
85853,6334
85853,9861
85862,3153
85876,5423
85876,7015
85902,6571
85948,3579
85960,3323
85960,9126
85980,3320
85980,9863
85983,3345
85983,6735
86061,7623
86061,9293
86076,5950
86126,3231
86126,7072
86162,3528
86171,3014
86212,6767
86252,6642
86252,9871
86287,3568
86287,9888
86303,4534
86303,8102
86350,7624
86435,3090
86440,3457
86444,7284
86444,9837
86460,3091
86486,6731
86486,8023
86506,3284
86514,3152
86517,8250
86583,3584
86626,3512
86626,7243
86626,9130
86633,3117
86690,4480
86707,3326
86722,3705
86722,7314
86769,5904
86820,3429
86820,7169
86853,3449
86880,6827
86921,3350
86924,3232
86924,9706
86946,3962
86946,7081
86946,9417
86972,5713
86974,8204
86990,3202
87045,3115
87045,9202
87048,3213
87048,7418
87053,5269
87064,3411
87122,7695
87135,4634
87135,6968
87144,3190
87144,7812
87144,10231
87163,9966
87166,5539
87166,8008
87166,9623
87189,5502
87189,6792
87195,6630
87209,3225
87277,3467
87277,7215
87277,9151
87300,6314
87300,7900
87344,3233
87346,7753
87381,5979
87445,4813
87457,3535
87457,9864
87470,4000
87530,3248
87538,7297
87538,9297
87548,3139
87563,4679
87563,10198
87601,6917
87601,9600
87601,10181
87604,4448
87646,6826
87670,3246
87679,3508
87679,7655
87696,3086
87699,5626
87737,3961
87737,8367
87772,6763
87804,3144
87804,6988
87804,9264
87842,6185
87842,8004
87862,3653
87878,3400
87878,7322
87905,3291
87905,6966
87936,5506
87947,3210
87990,3676
87990,7204
87990,9149
88013,3216
88023,6602
88055,3282
88075,3575
88075,7172
88094,3536
88120,7308
88137,3187
88149,6019
88162,3023
88166,6224
88181,6545
88181,7881
88181,9163
88190,3209
88190,9211
88209,7910
88229,3672
88229,7095
88241,3296
88241,6821
88283,7435
88305,3295
88384,4966
88402,3346
88402,6727
88402,9215
88412,4410
88425,3414
88425,7082
88486,3494
88486,7174
88505,4507
88505,7864
88541,6142
88547,3293
88547,6732
88589,3466
88589,7176
88589,9529
88608,4651
88608,10036
88618,4765
88621,3230
88621,6760
88672,4901
88677,6852
88677,9493
88699,9695
88760,3647
88760,7471
88760,9585
88770,3245
88770,7255
88770,10247
88773,3543
88773,6794
88773,9196
88844,3731
88859,3532
88859,9378
88867,3235
88867,7212
88867,9521
88869,3341
88902,6695
88902,8178
88902,9620
88907,6729
88918,3541
89044,5018
89044,6709
89053,3212
89063,3475
89063,9398
89063,10176
89095,9972
89104,5927
89115,3239
89115,7185
89115,9311
89184,4381
89186,4550
89260,3367
89279,6798
89279,9468
89300,3450
89320,5758
89320,9544
89367,5292
89367,8328
89377,5692
89377,9729
89383,3498
89505,4933
89525,3516
89534,3595
89557,3327
89561,4249
89567,7951
89627,5016
89627,7427
89653,3428
89653,7062
89716,3313
89731,4814
89731,8116
89786,3374
89786,7371
89834,3353
89881,3854
90021,7500
90021,9630
90042,3609
90050,4746
90060,10018
90066,5892
90077,3465
90077,7173
90077,9416
90113,3540
90113,7139
90113,9178
90116,5920
90116,8355
90211,4747
90217,3426
90217,8359
90241,3410
90241,6823
90262,3646
90262,10023
90281,4754
90281,7040
90281,9366
90367,6040
90369,3712
90369,7450
90369,9292
90428,3645
90428,6793
90462,3405
90508,4071
90520,5379
90577,5872
90613,3322
90613,6864
90613,9567
90626,4990
90666,3321
90666,9319
90667,3363
90683,6676
90736,8286
90742,4986
90742,7524
90746,3459
90750,4467
90765,7419
90772,3344
90783,4439
90785,4442
90849,6883
90849,9116
90877,3582
90877,7228
90946,3765
90964,3458
91025,6881
91025,8181
91025,9649
91074,6219
91093,5232
91104,3463
91121,7865
91121,9166
91145,3897
91152,4544
91152,7417
91187,3798
91187,7408
91210,6703
91216,8312
91227,6846
91241,3596
91241,7472
91247,5190
91262,3714
91310,3435
91332,3362
91335,3907
91335,6845
91335,9160
