%MODALITY%_glasser_%MEASURE%_Right_V1
%MODALITY%_glasser_%MEASURE%_Right_MST
%MODALITY%_glasser_%MEASURE%_Right_V6
%MODALITY%_glasser_%MEASURE%_Right_V2
%MODALITY%_glasser_%MEASURE%_Right_V3
%MODALITY%_glasser_%MEASURE%_Right_V4
%MODALITY%_glasser_%MEASURE%_Right_V8
%MODALITY%_glasser_%MEASURE%_Right_4
%MODALITY%_glasser_%MEASURE%_Right_3b
%MODALITY%_glasser_%MEASURE%_Right_FEF
%MODALITY%_glasser_%MEASURE%_Right_PEF
%MODALITY%_glasser_%MEASURE%_Right_55b
%MODALITY%_glasser_%MEASURE%_Right_V3A
%MODALITY%_glasser_%MEASURE%_Right_RSC
%MODALITY%_glasser_%MEASURE%_Right_POS2
%MODALITY%_glasser_%MEASURE%_Right_V7
%MODALITY%_glasser_%MEASURE%_Right_IPS1
%MODALITY%_glasser_%MEASURE%_Right_FFC
%MODALITY%_glasser_%MEASURE%_Right_V3B
%MODALITY%_glasser_%MEASURE%_Right_LO1
%MODALITY%_glasser_%MEASURE%_Right_LO2
%MODALITY%_glasser_%MEASURE%_Right_PIT
%MODALITY%_glasser_%MEASURE%_Right_MT
%MODALITY%_glasser_%MEASURE%_Right_A1
%MODALITY%_glasser_%MEASURE%_Right_PSL
%MODALITY%_glasser_%MEASURE%_Right_SFL
%MODALITY%_glasser_%MEASURE%_Right_PCV
%MODALITY%_glasser_%MEASURE%_Right_STV
%MODALITY%_glasser_%MEASURE%_Right_7Pm
%MODALITY%_glasser_%MEASURE%_Right_7m
%MODALITY%_glasser_%MEASURE%_Right_POS1
%MODALITY%_glasser_%MEASURE%_Right_23d
%MODALITY%_glasser_%MEASURE%_Right_v23ab
%MODALITY%_glasser_%MEASURE%_Right_d23ab
%MODALITY%_glasser_%MEASURE%_Right_31pv
%MODALITY%_glasser_%MEASURE%_Right_5m
%MODALITY%_glasser_%MEASURE%_Right_5mv
%MODALITY%_glasser_%MEASURE%_Right_23c
%MODALITY%_glasser_%MEASURE%_Right_5L
%MODALITY%_glasser_%MEASURE%_Right_24dd
%MODALITY%_glasser_%MEASURE%_Right_24dv
%MODALITY%_glasser_%MEASURE%_Right_7AL
%MODALITY%_glasser_%MEASURE%_Right_SCEF
%MODALITY%_glasser_%MEASURE%_Right_6ma
%MODALITY%_glasser_%MEASURE%_Right_7Am
%MODALITY%_glasser_%MEASURE%_Right_7PL
%MODALITY%_glasser_%MEASURE%_Right_7PC
%MODALITY%_glasser_%MEASURE%_Right_LIPv
%MODALITY%_glasser_%MEASURE%_Right_VIP
%MODALITY%_glasser_%MEASURE%_Right_MIP
%MODALITY%_glasser_%MEASURE%_Right_1
%MODALITY%_glasser_%MEASURE%_Right_2
%MODALITY%_glasser_%MEASURE%_Right_3a
%MODALITY%_glasser_%MEASURE%_Right_6d
%MODALITY%_glasser_%MEASURE%_Right_6mp
%MODALITY%_glasser_%MEASURE%_Right_6v
%MODALITY%_glasser_%MEASURE%_Right_p24pr
%MODALITY%_glasser_%MEASURE%_Right_33pr
%MODALITY%_glasser_%MEASURE%_Right_a24pr
%MODALITY%_glasser_%MEASURE%_Right_p32pr
%MODALITY%_glasser_%MEASURE%_Right_a24
%MODALITY%_glasser_%MEASURE%_Right_d32
%MODALITY%_glasser_%MEASURE%_Right_8BM
%MODALITY%_glasser_%MEASURE%_Right_p32
%MODALITY%_glasser_%MEASURE%_Right_10r
%MODALITY%_glasser_%MEASURE%_Right_47m
%MODALITY%_glasser_%MEASURE%_Right_8Av
%MODALITY%_glasser_%MEASURE%_Right_8Ad
%MODALITY%_glasser_%MEASURE%_Right_9m
%MODALITY%_glasser_%MEASURE%_Right_8BL
%MODALITY%_glasser_%MEASURE%_Right_9p
%MODALITY%_glasser_%MEASURE%_Right_10d
%MODALITY%_glasser_%MEASURE%_Right_8C
